pressure_level_hpa,selected_bucket_lower,selected_bucket_upper,white_center,selected_bucket_count,middle_60_p20,middle_60_p80,field_min,field_max
1000.0,-30.0,-29.0,-29.5,8950,-29.208226776123038,15.959594917297375,-88.77607727050781,89.0
975.0,-28.0,-27.0,-27.5,9080,-27.695885848999023,16.46913681030274,-88.68095397949219,89.0
950.0,-29.0,-28.0,-28.5,8226,-28.747679519653317,15.32807445526124,-89.0,89.0
925.0,-30.0,-29.0,-29.5,7608,-29.12967910766601,15.105677032470703,-89.0,88.56829833984375
900.0,-30.0,-29.0,-29.5,7187,-29.67514152526855,14.674450302124026,-89.0,88.58489227294922
875.0,-31.0,-30.0,-30.5,6655,-30.094932174682615,14.514472007751465,-89.0,88.9994125366211
850.0,-31.0,-30.0,-30.5,6418,-30.907146835327147,14.501258277893069,-89.0,88.9171142578125
825.0,-31.0,-30.0,-30.5,5916,-30.45876770019531,14.024057197570809,-89.0,88.749755859375
800.0,-30.0,-29.0,-29.5,6055,-29.51039009094238,13.67568244934083,-89.0,88.99684143066406
775.0,-30.0,-29.0,-29.5,5661,-29.181616592407227,13.251198387146001,-89.0,89.0
750.0,-28.0,-27.0,-27.5,5694,-28.981798171997067,13.443924522399909,-89.0,88.99952697753906
700.0,-29.0,-28.0,-28.5,5324,-28.380593109130857,15.12868061065674,-89.0,89.0
650.0,-29.0,-28.0,-28.5,5271,-28.7649917602539,15.617688751220708,-89.0,88.99999237060547
600.0,-29.0,-28.0,-28.5,5154,-28.808648681640623,15.893182182312014,-89.0,88.95999908447266
550.0,-29.0,-28.0,-28.5,5146,-28.5462547302246,15.368486213684085,-89.0,88.09258270263672
500.0,-29.0,-28.0,-28.5,4845,-28.439310836791982,14.911370277404785,-89.0,88.97492980957031
450.0,-30.0,-29.0,-29.5,4189,-29.080259323120114,14.930040550231935,-89.0,88.45551300048828
400.0,-33.0,-32.0,-32.5,3506,-32.76317749023437,14.939741134643555,-89.0,88.92109680175781
350.0,-49.0,-48.0,-48.5,762,-48.42617187499997,13.738804626464844,-89.0,86.99185180664062
300.0,-59.0,-58.0,-58.5,242,-65.02349090576168,13.881819725036621,-89.0,87.42244720458984
250.0,-59.0,-58.0,-58.5,394,-65.48473358154297,14.131641578674335,-89.0,86.94133758544922
225.0,-53.0,-52.0,-52.5,911,-68.49109802246093,11.834397315979004,-89.0,87.63700866699219
200.0,-44.0,-43.0,-43.5,1064,-72.39844970703125,21.66139717102051,-89.0,85.95864868164062
175.0,-62.0,-61.0,-61.5,1161,-70.5582061767578,16.84744148254396,-89.0,87.49372863769531
150.0,-42.0,-41.0,-41.5,2027,-52.17448196411133,12.42464904785158,-89.0,87.51518249511719
125.0,-34.0,-33.0,-33.5,5164,-33.16154861450195,14.618490219116211,-86.4764175415039,87.27616882324219
100.0,-36.0,-35.0,-35.5,3609,-35.73293914794921,18.914271926879884,-87.00176239013672,88.38307189941406
70.0,-38.0,-37.0,-37.5,1333,-44.99692611694335,22.248722457885744,-86.72724151611328,88.7248306274414
50.0,-42.0,-41.0,-41.5,367,-51.948213195800776,36.90759582519532,-87.09525299072266,89.0
30.0,-27.0,-26.0,-26.5,672,-45.61818466186523,61.102960968017584,-89.0,89.0
20.0,-36.0,-35.0,-35.5,1292,-51.34802398681641,49.53621673583988,-86.35272979736328,89.0
10.0,-44.0,-43.0,-43.5,941,-57.47942581176758,51.13178939819336,-88.99932861328125,89.0
7.0,5.0,6.0,5.5,1444,-54.30263748168945,48.67681732177736,-89.0,89.0
5.0,2.0,3.0,2.5,1658,-35.75712661743164,47.00105438232422,-89.0,88.75
3.0,4.0,5.0,4.5,2475,-33.64170532226561,48.337950134277385,-89.0,88.73065948486328
2.0,-48.0,-47.0,-47.5,2093,-47.78708877563476,49.86651382446292,-89.0,89.0
1.0,48.0,49.0,48.5,2553,-52.80013656616211,48.12503204345707,-89.0,89.0
