pressure_level_hpa,bucket_center_score_points,count
250,0,103922
250,5,31510
250,10,32533
250,15,36636
250,20,43723
250,25,66369
250,30,39880
250,35,34001
250,40,47002
250,45,59125
250,50,43392
250,55,31632
250,60,44112
250,65,63194
250,70,48774
250,75,41630
250,80,39508
250,85,61139
250,90,57566
250,95,69190
250,100,31882
500,0,28196
500,5,41508
500,10,89605
500,15,61340
500,20,43200
500,25,43975
500,30,38963
500,35,38243
500,40,32208
500,45,43344
500,50,63007
500,55,55214
500,60,52597
500,65,52513
500,70,54080
500,75,51562
500,80,49814
500,85,70082
500,90,60092
500,95,36695
500,100,20482
850,0,31477
850,5,35783
850,10,42771
850,15,58864
850,20,49710
850,25,49411
850,30,59927
850,35,56067
850,40,53598
850,45,42684
850,50,36579
850,55,49596
850,60,49709
850,65,50898
850,70,57355
850,75,61892
850,80,76170
850,85,83602
850,90,54550
850,95,19424
850,100,6653
1000,0,11724
1000,5,38411
1000,10,53775
1000,15,56192
1000,20,45291
1000,25,50575
1000,30,55149
1000,35,64483
1000,40,59983
1000,45,54517
1000,50,51490
1000,55,40281
1000,60,45793
1000,65,48444
1000,70,56781
1000,75,65497
1000,80,65213
1000,85,72949
1000,90,56717
1000,95,29301
1000,100,4154
