height_proxy_slope,intercept,longitude_slope,method,n,pressure_level_hpa,r2,scope
-3.5416760284781077,64.6276829882297,0.1809670214620496,score50_crossing,76,,0.39265639462238044,cross_pressure_plane
,54.09539068446808,0.061078180233095365,score50_crossing,19,1000.0,0.099821743925538,within_level
,58.240071861341484,0.11004708099122903,score50_crossing,19,850.0,0.2640707335854531,within_level
,56.99669997443312,0.1358215906845326,score50_crossing,19,500.0,0.5906762188306399,within_level
,81.23827177511085,0.41692123393934827,score50_crossing,19,250.0,0.6619094562716837,within_level
10.316076160899136,52.519914941612114,0.17828947368420403,max_gradient,76,,0.2736844905695758,cross_pressure_plane
,46.847149122807,0.1199561403508772,max_gradient,19,1000.0,0.06842550602935871,within_level
,56.22609649122806,0.16206140350877193,max_gradient,19,850.0,0.11029472055773326,within_level
,41.92028508771931,0.03695175438596506,max_gradient,19,500.0,0.0058911744170242475,within_level
,88.21436403508774,0.39418859649122867,max_gradient,19,250.0,0.4059119370039963,within_level
-2.216146472902743,56.51979690250949,0.10443244100711248,gradient_centroid,76,,0.43929411214945246,cross_pressure_plane
,52.65196433209342,0.05353963377745932,gradient_centroid,19,1000.0,0.25555671214931774,within_level
,48.06428727865887,0.016851410068640323,gradient_centroid,19,850.0,0.09928220220759498,within_level
,53.64581463034957,0.09830448036881258,gradient_centroid,19,500.0,0.951712820153426,within_level
,66.74860857834852,0.2490342398135455,gradient_centroid,19,250.0,0.7080849958610211,within_level
,-28.490021929824568,-0.16458333333333355,profile_shift_correlation,19,1000.0,0.15563741541148235,within_level_profile_shift
,-30.792324561403515,-0.21425438596491242,profile_shift_correlation,19,850.0,0.37115066820643816,within_level_profile_shift
,-28.057565789473696,-0.22861842105263178,profile_shift_correlation,19,500.0,0.1808712073932427,within_level_profile_shift
,8.949451754385963,0.1854166666666667,profile_shift_correlation,19,250.0,0.07215565538058422,within_level_profile_shift
