pressure_level_hpa,score_class,cluster_id,cell_count
250.0,6,34,156528
250.0,0,4,128469
250.0,1,10,79394
250.0,0,0,78677
250.0,3,15,76288
250.0,4,27,72438
250.0,4,26,59996
250.0,5,29,59740
250.0,2,11,56640
250.0,2,14,54227
250.0,5,31,48063
250.0,1,5,31114
250.0,3,20,29431
250.0,1,6,11319
250.0,2,13,6640
250.0,5,28,4937
250.0,3,19,4237
250.0,1,8,3762
250.0,3,16,3613
250.0,4,22,3588
250.0,0,3,2925
250.0,3,17,2638
250.0,5,32,2632
250.0,6,33,2533
250.0,3,21,2374
250.0,3,18,2330
250.0,1,7,2183
250.0,0,1,2100
250.0,4,24,1947
250.0,1,9,1939
250.0,4,23,1757
250.0,4,25,1276
250.0,5,30,1266
250.0,2,12,1223
250.0,0,2,1215
500.0,6,16,140851
500.0,5,14,135129
500.0,0,2,93990
500.0,4,12,89064
500.0,3,11,81242
500.0,3,10,79450
500.0,0,0,76173
500.0,4,13,67826
500.0,1,3,63263
500.0,1,5,63024
500.0,2,8,61689
500.0,2,9,39576
500.0,1,7,8111
500.0,1,6,3476
500.0,5,15,1816
500.0,1,4,1713
500.0,0,1,1340
850.0,5,13,168802
850.0,6,14,113844
850.0,4,12,92823
850.0,3,8,82147
850.0,1,4,80183
850.0,2,6,79976
850.0,2,7,70948
850.0,4,11,61130
850.0,0,2,58529
850.0,1,3,57684
850.0,3,9,55798
850.0,0,0,54408
850.0,2,5,4498
850.0,3,10,2141
850.0,0,1,1719
1000.0,5,18,152586
1000.0,6,19,126868
1000.0,3,14,82602
1000.0,0,6,79821
1000.0,1,7,79777
1000.0,2,13,75787
1000.0,4,17,75268
1000.0,2,11,71897
1000.0,3,15,66941
1000.0,4,16,62461
1000.0,1,8,56706
1000.0,0,1,31935
1000.0,0,0,12101
1000.0,1,9,4946
1000.0,2,12,2214
1000.0,0,5,2170
1000.0,0,4,2117
1000.0,0,2,1690
1000.0,1,10,1566
1000.0,0,3,1520
