bucket_label,lower_bound,lower_inclusive,upper_bound,upper_inclusive,cell_count
0-1,0,true,1,true,102996
1-2,1,false,2,true,23884
2-3,2,false,3,true,5928
3-4,3,false,4,true,11340
4-5,4,false,5,true,8485
5-6,5,false,6,true,14391
6-7,6,false,7,true,13464
7-8,7,false,8,true,9576
8-9,8,false,9,true,5880
9-10,9,false,10,true,4778
10-11,10,false,11,true,4892
11-12,11,false,12,true,4872
12-13,12,false,13,true,4948
13-14,13,false,14,true,4415
14-15,14,false,15,true,4177
15-16,15,false,16,true,4468
16-17,16,false,17,true,5124
17-18,17,false,18,true,5497
18-19,18,false,19,true,6039
19-20,19,false,20,true,6999
20-21,20,false,21,true,7134
21-22,21,false,22,true,6753
22-23,22,false,23,true,6765
23-24,23,false,24,true,8198
24-25,24,false,25,true,7785
25-26,25,false,26,true,8594
26-27,26,false,27,true,10384
27-28,27,false,28,true,10216
28-29,28,false,29,true,10332
29-30,29,false,30,true,9093
30-31,30,false,31,true,9424
31-32,31,false,32,true,9397
32-33,32,false,33,true,8419
33-34,33,false,34,true,8005
34-35,34,false,35,true,8610
35-36,35,false,36,true,8006
36-37,36,false,37,true,7449
37-38,37,false,38,true,7658
38-39,38,false,39,true,6694
39-40,39,false,40,true,6700
40-41,40,false,41,true,6913
41-42,41,false,42,true,8132
42-43,42,false,43,true,8628
43-44,43,false,44,true,7784
44-45,44,false,45,true,7629
45-46,45,false,46,true,7349
46-47,46,false,47,true,6457
47-48,47,false,48,true,6236
48-49,48,false,49,true,6546
49-50,49,false,50,true,6452
50-51,50,false,51,true,6984
51-52,51,false,52,true,6508
52-53,52,false,53,true,6464
53-54,53,false,54,true,7308
54-55,54,false,55,true,8691
55-56,55,false,56,true,8978
56-57,56,false,57,true,10264
57-58,57,false,58,true,10895
58-59,58,false,59,true,11552
59-60,59,false,60,true,12122
60-61,60,false,61,true,12291
61-62,61,false,62,true,11437
62-63,62,false,63,true,12997
63-64,63,false,64,true,10579
64-65,64,false,65,true,10513
65-66,65,false,66,true,11369
66-67,66,false,67,true,12346
67-68,67,false,68,true,13301
68-69,68,false,69,true,12586
69-70,69,false,70,true,11145
70-71,70,false,71,true,9279
71-72,71,false,72,true,8892
72-73,72,false,73,true,8987
73-74,73,false,74,true,9218
74-75,74,false,75,true,8606
75-76,75,false,76,true,8926
76-77,76,false,77,true,9451
77-78,77,false,78,true,9984
78-79,78,false,79,true,9495
79-80,79,false,80,true,8714
80-81,80,false,81,true,8251
81-82,81,false,82,true,7101
82-83,82,false,83,true,6724
83-84,83,false,84,true,7246
84-85,84,false,85,true,8131
85-86,85,false,86,true,9673
86-87,86,false,87,true,11447
87-88,87,false,88,true,9620
88-89,88,false,89,true,8629
89-90,89,false,90,true,9957
90-91,90,false,91,true,8891
91-92,91,false,92,true,8839
92-93,92,false,93,true,8401
93-94,93,false,94,true,11276
94-95,94,false,95,true,13041
95-96,95,false,96,true,12572
96-97,96,false,97,true,17033
97-98,97,false,98,true,13525
98-99,98,false,99,true,17096
99-100,99,false,100,true,39490
