pressure_level_hpa,cluster_id,cluster_name,cell_count,cell_fraction,score_min,score_max,score_mean,score_median
250.0,0,low_score_polar_like,476663,0.46425802555711393,0.0,47.966712951660156,18.443763732910156,17.873979568481445
250.0,1,high_score_equator_like,550057,0.5357419744428861,47.966888427734375,100.0,76.50300598144531,75.94708251953125
300.0,0,low_score_polar_like,480046,0.4675529842605579,0.0,47.96678161621094,19.490793228149414,16.096622467041016
300.0,1,high_score_equator_like,546674,0.5324470157394421,47.967281341552734,100.0,74.96528625488281,74.44314575195312
350.0,0,low_score_polar_like,470488,0.4582437275985663,0.0,47.966758728027344,18.92214012145996,15.54949951171875
350.0,1,high_score_equator_like,556232,0.5417562724014336,47.9668083190918,100.0,74.4804458618164,74.17354583740234
400.0,0,low_score_polar_like,465770,0.45364851176562254,0.0,47.96676254272461,19.187091827392578,17.33184814453125
400.0,1,high_score_equator_like,560950,0.5463514882343774,47.96696853637695,100.0,74.18138885498047,73.65084838867188
450.0,0,low_score_polar_like,465259,0.4531508103475144,0.0,47.96680450439453,19.99457550048828,19.120298385620117
450.0,1,high_score_equator_like,561461,0.5468491896524856,47.96685028076172,100.0,74.05364227294922,73.599609375
500.0,0,low_score_polar_like,465315,0.453205352968677,0.0,47.966793060302734,20.71771240234375,20.247516632080078
500.0,1,high_score_equator_like,561405,0.5467946470313231,47.966827392578125,100.0,73.52670288085938,73.34568786621094
550.0,0,low_score_polar_like,463069,0.45101780426990806,0.0,47.96678161621094,20.9156436920166,20.5819149017334
550.0,1,high_score_equator_like,563651,0.548982195730092,47.96684265136719,100.0,73.0821304321289,73.09346771240234
600.0,0,low_score_polar_like,460312,0.448332554153031,0.0,47.966773986816406,21.10816192626953,20.773542404174805
600.0,1,high_score_equator_like,566408,0.551667445846969,47.966835021972656,100.0,72.67166137695312,72.75006103515625
650.0,0,low_score_polar_like,459842,0.44787478572541684,0.0,47.96680450439453,21.203800201416016,21.034862518310547
650.0,1,high_score_equator_like,566878,0.5521252142745832,47.96683120727539,100.0,72.8280258178711,73.05168151855469
700.0,0,low_score_polar_like,460766,0.44877473897459874,0.0,47.966793060302734,21.334213256835938,21.309429168701172
700.0,1,high_score_equator_like,565954,0.5512252610254013,47.966976165771484,100.0,73.39411926269531,73.56217956542969
750.0,0,low_score_polar_like,463506,0.45144343151005145,0.0,47.9666862487793,21.57640266418457,21.841259002685547
750.0,1,high_score_equator_like,563214,0.5485565684899486,47.9669189453125,100.0,73.59030151367188,74.33068084716797
775.0,0,low_score_polar_like,466104,0.45397381954184196,0.0,47.96678924560547,21.858598709106445,22.149444580078125
775.0,1,high_score_equator_like,560616,0.546026180458158,47.96694564819336,100.0,73.6915283203125,74.8099594116211
800.0,0,low_score_polar_like,469346,0.4571314477170017,0.0,47.966793060302734,22.257490158081055,22.714252471923828
800.0,1,high_score_equator_like,557374,0.5428685522829982,47.967193603515625,100.0,73.76292419433594,74.84648895263672
825.0,0,low_score_polar_like,473122,0.4608091787439614,0.0,47.96675491333008,22.841753005981445,23.587547302246094
825.0,1,high_score_equator_like,553598,0.5391908212560387,47.96684646606445,100.0,73.76541137695312,74.77467346191406
850.0,0,low_score_polar_like,477210,0.46479079008882657,0.0,47.96671676635742,23.341346740722656,24.26413345336914
850.0,1,high_score_equator_like,549510,0.5352092099111735,47.96687698364258,100.0,73.62722778320312,74.53855895996094
875.0,0,low_score_polar_like,483479,0.47089664173289697,0.0,47.96680450439453,23.879638671875,25.18985366821289
875.0,1,high_score_equator_like,543241,0.529103358267103,47.96681594848633,100.0,73.61595916748047,74.51487731933594
900.0,0,low_score_polar_like,491225,0.47844105501012935,0.0,47.96671676635742,24.37371063232422,25.795150756835938
900.0,1,high_score_equator_like,535495,0.5215589449898707,47.966888427734375,100.0,73.7751235961914,74.51580810546875
925.0,0,low_score_polar_like,493976,0.48112046127473895,0.0,47.966697692871094,24.978151321411133,26.40591812133789
925.0,1,high_score_equator_like,532744,0.518879538725261,47.96684646606445,100.0,73.82304382324219,74.42071533203125
950.0,0,low_score_polar_like,492458,0.47964196665108305,0.0,47.966800689697266,25.34267807006836,26.888687133789062
950.0,1,high_score_equator_like,534262,0.520358033348917,47.96683883666992,100.0,73.62052154541016,74.42520904541016
975.0,0,low_score_polar_like,492839,0.4800130512700639,0.0,47.966732025146484,25.63111114501953,27.100587844848633
975.0,1,high_score_equator_like,533881,0.5199869487299361,47.967105865478516,100.0,73.71774291992188,74.26373291015625
1000.0,0,low_score_polar_like,492917,0.4800890213495403,0.0,47.966800689697266,26.003145217895508,27.124473571777344
1000.0,1,high_score_equator_like,533803,0.5199109786504598,47.96694564819336,100.0,73.739501953125,74.26245880126953
